DataSet,Site,Method,YR,MO,Transect,Depth(m),Pocillopora,Other,Millepora
4x5,Uva,Cuadrants,2018,Aug,Drawn,,73.5545504,0.2256448,0
4x5,Uva,Cuadrants,2017,Apr,Drawn,,71.659091136181,0.444546271370951,0
4x5,Uva,Cuadrants,2016,Apr,Photo,,57.2797384,0.1449144,0
4x5,Uva,Cuadrants,2015,Aug,Photo,,69.161748,0.2481888,0
4x5,Uva,Cuadrants,2015,Aug,Drawn,,72.4955296,0.4222272,0
4x5,Uva,Cuadrants,2014,Aug,Drawn,,73.0702479,0.256237,0
4x5,Uva,Cuadrants,2010,Mar,Drawn,,68.3901766452543,0.072138659181205,0
4x5,Uva,Cuadrants,2007,Jul,Drawn,,63.3388298925394,0.403563326122214,0
4x5,Uva,Cuadrants,2006,Mar,Drawn,,65.3277032911375,0.609940704769268,0
4x5,Uva,Cuadrants,2005,Mar,Drawn,,57.0057521055748,0.416593809143765,0
4x5,Uva,Cuadrants,2004,Mar,Drawn,,56.6720674102468,0.440086294950403,0
4x5,Uva,Cuadrants,2003,Mar,Drawn,,50.2993880197525,0.626714101194936,0
4x5,Uva,Cuadrants,2002,Mar,Drawn,,47.0499044378893,0.53805417837277,0
4x5,Uva,Cuadrants,2001,Feb,Drawn,,34.3963611292358,0.50102801317436,0
4x5,Uva,Cuadrants,2000,May,Drawn,,32.7470233415566,0.243993732097687,0
4x5,Uva,Cuadrants,1997,Jan,Drawn,,16.4069207974072,1.35355812307341,0
4x5,Uva,Cuadrants,1995,Jul,Drawn,,8.66460171188198,0.733227995010891,0
4x5,Uva,Cuadrants,1994,Jan,Drawn,,6.08880700485325,0.525736458068212,0
4x5,Uva,Cuadrants,1993,Mar,Drawn,,6.52330343495568,0.489251141569259,0
4x5,Uva,Cuadrants,1992,Feb,Drawn,,4.60903000453963,0.314102764070293,0
4x5,Uva,Cuadrants,1990,Mar,Drawn,,1.92631880352561,0.061816070041057,0
4x5,Uva,Cuadrants,1990,Dec,Drawn,,3.22781116833051,0.0721433868095,0
4x5,Uva,Cuadrants,1989,Feb,Drawn,,1.08534305764371,0.046736187271689,0
4x5,Uva,Cuadrants,1989,Oct,Drawn,,1.88670560840301,0.107995434818867,0
4x5,Uva,Cuadrants,1988,Jun,Drawn,,1.57834835641147,0.042443117179484,0
4x5,Uva,Cuadrants,1987,May,Drawn,,1.65727878591779,0.032967186102481,0
4x5,Uva,Cuadrants,1986,Jul,Drawn,,1.08262426513747,0.027136189813967,0
4x5,Uva,Cuadrants,1985,Jan,Drawn,,0.310968671897968,0.080380875907088,0
4x5,Uva,Cuadrants,1985,Mar,Drawn,,0.498231504215956,0.118170667280958,0
4x5,Uva,Cuadrants,1985,May,Drawn,,0.543875011860979,0.078603101060114,0
4x5,Uva,Cuadrants,1985,Jul,Drawn,,0.527035412780255,0.058623295881556,0
4x5,Uva,Cuadrants,1985,Aug,Drawn,,0.619881666064953,0.042694799387179,0
4x5,Uva,Cuadrants,1985,Oct,Drawn,,0.792990273426743,0.02162198354775,0
4x5,Uva,Cuadrants,1984,Jun,Drawn,,0.214453386345934,0,0
4x5,Uva,Cuadrants,1984,Jul,Drawn,,0.251493374984883,0.056092937291593,0
4x5,Uva,Cuadrants,1984,Aug,Drawn,,0.242349351458435,0.114488666517142,0
4x5,Uva,Cuadrants,1984,Sep,Drawn,,0.349909129548604,0.08358088072106,0
4x5,Uva,Cuadrants,1984,Nov,Drawn,,0.349682095093367,0.098471772016564,0
4x5,Uva,Cuadrants,1984,Dec,Drawn,,0.343136736870266,0.091532445558568,0
UvRf-Chains,Uva,UvRf-Chains,1980,Dec,I,2,23.8356164383562,0.136986301369863,3.97260273972603
UvRf-Chains,Uva,UvRf-Chains,1980,Dec,II,2,3.56164383561644,0.136986301369863,0
UvRf-Chains,Uva,UvRf-Chains,1980,Dec,III,2,9.58904109589041,0,0
UvRf-Chains,Uva,UvRf-Chains,1980,Dec,IV,2,6.98630136986301,0,3.97260273972603
UvRf-Chains,Uva,UvRf-Chains,1980,Dec,IX,2,1.78082191780822,0,0
UvRf-Chains,Uva,UvRf-Chains,1980,Dec,V,2,19.5890410958904,0.958904109589041,0
UvRf-Chains,Uva,UvRf-Chains,1980,Dec,VI,2,12.6027397260274,14.1095890410959,0
UvRf-Chains,Uva,UvRf-Chains,1980,Dec,VII,2,1.36986301369863,0.136986301369863,0
UvRf-Chains,Uva,UvRf-Chains,1980,Dec,VIII,2,13.1506849315068,0.136986301369863,1.0958904109589
UvRf-Chains,Uva,UvRf-Chains,1980,Dec,X,2,19.3150684931507,1.0958904109589,0
UvRf-Chains,Uva,UvRf-Chains,1983,Mar,I,2,13.2876712328767,0.958904109589041,4.24657534246575
UvRf-Chains,Uva,UvRf-Chains,1983,Mar,II,2,10.1092896174863,0,0
UvRf-Chains,Uva,UvRf-Chains,1983,Mar,III,2,2.19178082191781,0.547945205479452,2.19178082191781
UvRf-Chains,Uva,UvRf-Chains,1983,Mar,IV,2,12.1396054628225,0,0.303490136570561
UvRf-Chains,Uva,UvRf-Chains,1983,Mar,IX,2,4.79452054794521,0,0
UvRf-Chains,Uva,UvRf-Chains,1983,Mar,V,2,12.3287671232877,0,0
UvRf-Chains,Uva,UvRf-Chains,1983,Mar,VI,2,12.6027397260274,0.410958904109589,0
UvRf-Chains,Uva,UvRf-Chains,1983,Mar,VII,2,0.273972602739726,0.273972602739726,0
UvRf-Chains,Uva,UvRf-Chains,1983,Mar,VIII,2,9.72602739726028,0,0.547945205479452
UvRf-Chains,Uva,UvRf-Chains,1983,Mar,X,2,23.8356164383562,0,0
UvRf-Chains,Uva,UvRf-Chains,1983,Apr,I,2,12.3287671232877,0,0
UvRf-Chains,Uva,UvRf-Chains,1983,Apr,II,2,5.19125683060109,0,0
UvRf-Chains,Uva,UvRf-Chains,1983,Apr,III,2,0.958904109589041,0,0
UvRf-Chains,Uva,UvRf-Chains,1983,Apr,IV,2,12.1396054628225,0,0
UvRf-Chains,Uva,UvRf-Chains,1983,Apr,IX,2,0,0,0
UvRf-Chains,Uva,UvRf-Chains,1983,Apr,V,2,12.3287671232877,0,0
UvRf-Chains,Uva,UvRf-Chains,1983,Apr,VI,2,0,0,0
UvRf-Chains,Uva,UvRf-Chains,1983,Apr,VII,2,0,0,0
UvRf-Chains,Uva,UvRf-Chains,1983,Apr,VIII,2,4.65753424657534,0,0
UvRf-Chains,Uva,UvRf-Chains,1983,Apr,X,2,23.8356164383562,0,0
UvRf-Chains,Uva,UvRf-Chains,1983,Oct,I,2,0,0,0
UvRf-Chains,Uva,UvRf-Chains,1983,Oct,II,2,0,0,0
UvRf-Chains,Uva,UvRf-Chains,1983,Oct,III,2,0,0,0
UvRf-Chains,Uva,UvRf-Chains,1983,Oct,IV,2,4.24886191198786,0,0
UvRf-Chains,Uva,UvRf-Chains,1983,Oct,IX,2,0,0,0
UvRf-Chains,Uva,UvRf-Chains,1983,Oct,V,2,2.19178082191781,0,0
UvRf-Chains,Uva,UvRf-Chains,1983,Oct,VI,2,0,0,0
UvRf-Chains,Uva,UvRf-Chains,1983,Oct,VII,2,0,0,0
UvRf-Chains,Uva,UvRf-Chains,1983,Oct,VIII,2,0,0,0
