Category,DataSet,Site,Method,YR,MO,Transect,Depth(m),Cover
Pocillopora,4x5,Uva,Cuadrants,2018,Aug,Drawn,,73.5545504
Pocillopora,4x5,Uva,Cuadrants,2017,Apr,Drawn,,71.659091136181
Pocillopora,4x5,Uva,Cuadrants,2016,Apr,Photo,,57.2797384
Pocillopora,4x5,Uva,Cuadrants,2015,Aug,Photo,,69.161748
Pocillopora,4x5,Uva,Cuadrants,2015,Aug,Drawn,,72.4955296
Pocillopora,4x5,Uva,Cuadrants,2014,Aug,Drawn,,73.0702479
Pocillopora,4x5,Uva,Cuadrants,2010,Mar,Drawn,,68.3901766452543
Pocillopora,4x5,Uva,Cuadrants,2007,Jul,Drawn,,63.3388298925394
Pocillopora,4x5,Uva,Cuadrants,2006,Mar,Drawn,,65.3277032911375
Pocillopora,4x5,Uva,Cuadrants,2005,Mar,Drawn,,57.0057521055748
Pocillopora,4x5,Uva,Cuadrants,2004,Mar,Drawn,,56.6720674102468
Pocillopora,4x5,Uva,Cuadrants,2003,Mar,Drawn,,50.2993880197525
Pocillopora,4x5,Uva,Cuadrants,2002,Mar,Drawn,,47.0499044378893
Pocillopora,4x5,Uva,Cuadrants,2001,Feb,Drawn,,34.3963611292358
Pocillopora,4x5,Uva,Cuadrants,2000,May,Drawn,,32.7470233415566
Pocillopora,4x5,Uva,Cuadrants,1997,Jan,Drawn,,16.4069207974072
Pocillopora,4x5,Uva,Cuadrants,1995,Jul,Drawn,,8.66460171188198
Pocillopora,4x5,Uva,Cuadrants,1994,Jan,Drawn,,6.08880700485325
Pocillopora,4x5,Uva,Cuadrants,1993,Mar,Drawn,,6.52330343495568
Pocillopora,4x5,Uva,Cuadrants,1992,Feb,Drawn,,4.60903000453963
Pocillopora,4x5,Uva,Cuadrants,1990,Mar,Drawn,,1.92631880352561
Pocillopora,4x5,Uva,Cuadrants,1990,Dec,Drawn,,3.22781116833051
Pocillopora,4x5,Uva,Cuadrants,1989,Feb,Drawn,,1.08534305764371
Pocillopora,4x5,Uva,Cuadrants,1989,Oct,Drawn,,1.88670560840301
Pocillopora,4x5,Uva,Cuadrants,1988,Jun,Drawn,,1.57834835641147
Pocillopora,4x5,Uva,Cuadrants,1987,May,Drawn,,1.65727878591779
Pocillopora,4x5,Uva,Cuadrants,1986,Jul,Drawn,,1.08262426513747
Pocillopora,4x5,Uva,Cuadrants,1985,Jan,Drawn,,0.310968671897968
Pocillopora,4x5,Uva,Cuadrants,1985,Mar,Drawn,,0.498231504215956
Pocillopora,4x5,Uva,Cuadrants,1985,May,Drawn,,0.543875011860979
Pocillopora,4x5,Uva,Cuadrants,1985,Jul,Drawn,,0.527035412780255
Pocillopora,4x5,Uva,Cuadrants,1985,Aug,Drawn,,0.619881666064953
Pocillopora,4x5,Uva,Cuadrants,1985,Oct,Drawn,,0.792990273426743
Pocillopora,4x5,Uva,Cuadrants,1984,Jun,Drawn,,0.214453386345934
Pocillopora,4x5,Uva,Cuadrants,1984,Jul,Drawn,,0.251493374984883
Pocillopora,4x5,Uva,Cuadrants,1984,Aug,Drawn,,0.242349351458435
Pocillopora,4x5,Uva,Cuadrants,1984,Sep,Drawn,,0.349909129548604
Pocillopora,4x5,Uva,Cuadrants,1984,Nov,Drawn,,0.349682095093367
Pocillopora,4x5,Uva,Cuadrants,1984,Dec,Drawn,,0.343136736870266
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1980,Dec,I,2,23.8356164383562
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1980,Dec,II,2,3.56164383561644
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1980,Dec,III,2,9.58904109589041
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1980,Dec,IV,2,6.98630136986301
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1980,Dec,IX,2,1.78082191780822
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1980,Dec,V,2,19.5890410958904
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1980,Dec,VI,2,12.6027397260274
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1980,Dec,VII,2,1.36986301369863
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1980,Dec,VIII,2,13.1506849315068
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1980,Dec,X,2,19.3150684931507
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1983,Mar,I,2,13.2876712328767
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1983,Mar,II,2,10.1092896174863
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1983,Mar,III,2,2.19178082191781
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1983,Mar,IV,2,12.1396054628225
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1983,Mar,IX,2,4.79452054794521
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1983,Mar,V,2,12.3287671232877
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1983,Mar,VI,2,12.6027397260274
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1983,Mar,VII,2,0.273972602739726
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1983,Mar,VIII,2,9.72602739726028
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1983,Mar,X,2,23.8356164383562
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1983,Apr,I,2,12.3287671232877
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1983,Apr,II,2,5.19125683060109
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1983,Apr,III,2,0.958904109589041
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1983,Apr,IV,2,12.1396054628225
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1983,Apr,IX,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1983,Apr,V,2,12.3287671232877
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1983,Apr,VI,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1983,Apr,VII,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1983,Apr,VIII,2,4.65753424657534
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1983,Apr,X,2,23.8356164383562
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1983,Oct,I,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1983,Oct,II,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1983,Oct,III,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1983,Oct,IV,2,4.24886191198786
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1983,Oct,IX,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1983,Oct,V,2,2.19178082191781
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1983,Oct,VI,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1983,Oct,VII,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1983,Oct,VIII,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1983,Oct,X,2,3.56164383561644
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1984,Jul,I,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1984,Jul,II,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1984,Jul,III,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1984,Jul,IV,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1984,Jul,IX,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1984,Jul,V,2,2.19178082191781
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1984,Jul,VI,2,0.136986301369863
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1984,Jul,VII,2,4.10958904109589
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1984,Jul,VIII,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1984,Jul,X,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1985,Jan,I,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1985,Jan,II,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1985,Jan,III,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1985,Jan,IV,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1985,Jan,IX,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1985,Jan,V,2,4.38356164383562
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1985,Jan,VI,2,1.50684931506849
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1985,Jan,VII,2,1.0958904109589
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1985,Jan,VIII,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1985,Jan,X,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1985,Aug,I,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1985,Aug,II,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1985,Aug,III,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1985,Aug,IV,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1985,Aug,IX,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1985,Aug,V,2,3.42465753424658
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1985,Aug,VI,2,1.23287671232877
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1985,Aug,VII,2,2.05479452054794
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1985,Aug,VIII,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1985,Aug,X,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1986,Jan,I,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1986,Jan,II,2,0
