Region,Location,Reef,Depht,Spp,Year.2,Number,Tag,Sample,Collection day,Notes,Depth.2
Pan_Chiriqui,Uva Island,Coral Collection Point,15,P.ele,2014,1,267,14_267,08/19/14,,Shallow
Pan_Chiriqui,Uva Island,Coral Collection Point,15,P.ele,2015,1,267,15_267,08/18/15,,Shallow
Pan_Chiriqui,Uva Island,Coral Collection Point,15,P.ele,2016,1,267,16_267,04/18/16,,Shallow
Pan_Chiriqui,Uva Island,Shallow Millepora ,15,P.ele,2014,1,336,14_336-1A,08/21/14,,Shallow
Pan_Chiriqui,Uva Island,Shallow Millepora ,15,P.ele,2015,1,336,15_336-1A,08/17/15,,Shallow
Pan_Chiriqui,Uva Island,Shallow Millepora ,15,P.ele,2015,1,336,15_336-1B,08/17/15,,Shallow
Pan_Chiriqui,Uva Island,Shallow Millepora ,15,P.ele,2016,1,336,16_336-1A,04/16/16,,Shallow
Pan_Chiriqui,Uva Island,Shallow Millepora ,15,P.ele,2014,1,337,14_337-1A,08/21/14,,Shallow
Pan_Chiriqui,Uva Island,Shallow Millepora ,15,P.ele,2015,1,337,15_337-1A,08/17/15,,Shallow
Pan_Chiriqui,Uva Island,Shallow Millepora ,15,P.ele,2015,1,337,15_337-1B,08/17/15,,Shallow
Pan_Chiriqui,Canal de afuera,,37,P.ele,2014,1,345,14_345-1A,08/23/14,,mid
Pan_Chiriqui,Canal de afuera,,37,P.ele,2015,1,345,15_345-1A,08/21/15,,mid
Pan_Chiriqui,Canal de afuera,,37,P.ele,2016,1,345,16_345-1A,04/19/16,,mid
Pan_Chiriqui,Canal de afuera,,37,P.ele,2016,1,345,16_345-1B,04/19/16,,mid
Pan_Panama,Saboga Island,Gardineroseris area,13,P.dam,2014,1,364,14_364-1,08/27/14,,Shallow
Pan_Panama,Saboga Island,Gardineroseris area,13,P.dam,2015,1,364,15_364-1,08/25/15,,Shallow
Pan_Panama,Saboga Island,Gardineroseris area,13,P.dam,2014,1,367,14_367-1,08/27/14,,Shallow
Pan_Panama,Saboga Island,Gardineroseris area,13,P.dam,2015,1,367,15_367-1,08/25/15,,Shallow
Pan_Panama,Saboga Island,Gardineroseris area,14,P.dam,2014,1,369,14_369-1,08/27/14,,Shallow
Pan_Panama,Saboga Island,Gardineroseris area,14,P.dam,2015,1,369,15_369-1,08/25/15,,Shallow
Pan_Panama,Saboga Island,Gardineroseris area,14,P.dam,2014,1,372,14_372-1,08/27/14,,Shallow
Pan_Panama,Saboga Island,Gardineroseris area,14,P.dam,2015,1,372,15_372-1,08/25/15,,Shallow
Pan_Panama,Saboga Island,Gardineroseris area,14,P.dam,2014,1,374,14_374-1,08/27/14,,Shallow
Pan_Panama,Saboga Island,Gardineroseris area,14,P.dam,2015,1,374,15_374-1,08/25/15,,Shallow
Pan_Panama,Saboga Island,Gardineroseris area,14,P.dam,2014,1,377,14_377-1,08/27/14,,Shallow
Pan_Panama,Saboga Island,Gardineroseris area,13,P.dam,2015,1,377,15_377-1,08/25/15,,Shallow
Pan_Panama,Saboga Island,Around the rocks,7,P.dam,2014,1,396,14_396-1,08/28/14,,Shallow
Pan_Panama,Saboga Island,Around the rocks,7,P.dam,2015,1,396,15_396-1,08/26/15,,Shallow
Pan_Chiriqui,Canal de afuera,,35,P.ele,2015,1,643,15_643-1A,08/21/15,,mid
Pan_Chiriqui,Canal de afuera,,35,P.ele,2016,1,643,16_643-1A,04/19/16,,mid
Pan_Chiriqui,Canal de afuera,,35,P.ele,2016,1,643,16_643-1B,04/19/16,,mid
Pan_Chiriqui,Canal de afuera,,36,P.ele,2015,1,644,15_644-1A,08/21/15,,mid
Pan_Chiriqui,Canal de afuera,,36,P.ele,2016,1,644,16_644-1A,04/19/16,,mid
Pan_Chiriqui,Canal de afuera,,36,P.ele,2016,1,644,16_644-1B,04/19/16,,mid
Pan_Chiriqui,Uva Island,4x5,14,P.dam,2014,1,252-1,14_252-1,08/17/14,,Shallow
