Colony,Year.2,C.SH,D.SH,tot.SH,logTot.SH,D.Prp,,logC.SH,logD.SH,Year,Sample,Reef,Spp,Depht,Community,DominantCommunity,D14.D.Prp,D14Community,D14Dominant,D16.D.Prp,D16Community,D16Dominant,ITS2_14,ORF,ORFCommunity,ORFCommunity2,DominantITS2
256-1,2014,0.019995804216468,0,0.019995804216468,-1.6990611241761,0,0.0,-1.6990611241761,NA,14,14_256-1,M.intrincata Shallow,P.dam,10,Cladocopium-only,Cladocopium-dominated,0,Cladocopium-only,Cladocopium-dominated,0,Cladocopium-only,Cladocopium-dominated,C1d,Type 3,Type 3_Cladocopium-only,Type 3_Cladocopium-dominated,C1d-dominated
256-1,2015,0.018829939156306,0,0.018829939156306,-1.7251510832825,0,0.0,-1.7251510832825,NA,15,15_256-1,M.intrincata Shallow,P.dam,10,Cladocopium-only,Cladocopium-dominated,0,Cladocopium-only,Cladocopium-dominated,0,Cladocopium-only,Cladocopium-dominated,C1d,Type 3,Type 3_Cladocopium-only,Type 3_Cladocopium-dominated,C1d-dominated
256-1,2016,0.003672474682607,0,0.003672474682607,-2.43504118947697,0,0.0,-2.43504118947697,NA,16,16_256-1,M.intrincata Shallow,P.dam,10,Cladocopium-only,Cladocopium-dominated,0,Cladocopium-only,Cladocopium-dominated,0,Cladocopium-only,Cladocopium-dominated,C1d,Type 3,Type 3_Cladocopium-only,Type 3_Cladocopium-dominated,C1d-dominated
257-1,2015,0.006393812520168,0,0.006393812520168,-2.19424010229175,0,0.0,-2.19424010229175,NA,15,15_257-1,M.intrincata Shallow,P.dam,10,Cladocopium-only,Cladocopium-dominated,0,Cladocopium-only,Cladocopium-dominated,0,Cladocopium-only,Cladocopium-dominated,C1d,Type 3,Type 3_Cladocopium-only,Type 3_Cladocopium-dominated,C1d-dominated
257-1,2016,0.003005339386401,0,0.003005339386401,-2.52210647696623,0,0.0,-2.52210647696623,NA,16,16_257-1,M.intrincata Shallow,P.dam,10,Cladocopium-only,Cladocopium-dominated,0,Cladocopium-only,Cladocopium-dominated,0,Cladocopium-only,Cladocopium-dominated,C1d,Type 3,Type 3_Cladocopium-only,Type 3_Cladocopium-dominated,C1d-dominated
260-1,2014,0.115933950863311,0,0.115933950863311,-0.935789363748073,0,0.0,-0.935789363748073,NA,14,14_260-1,M.intrincata Shallow,P.dam,10,Cladocopium-only,Cladocopium-dominated,0,Cladocopium-only,Cladocopium-dominated,0,Cladocopium-only,Cladocopium-dominated,C1d,Type 3,Type 3_Cladocopium-only,Type 3_Cladocopium-dominated,C1d-dominated
260-1,2015,0.006340515166996,0,0.006340515166996,-2.19787545424852,0,0.0,-2.19787545424852,NA,15,15_260-1,M.intrincata Shallow,P.dam,10,Cladocopium-only,Cladocopium-dominated,0,Cladocopium-only,Cladocopium-dominated,0,Cladocopium-only,Cladocopium-dominated,C1d,Type 3,Type 3_Cladocopium-only,Type 3_Cladocopium-dominated,C1d-dominated
260-1,2016,0.004057672597797,0,0.004057672597797,-2.39172299789074,0,0.0,-2.39172299789074,NA,16,16_260-1,M.intrincata Shallow,P.dam,10,Cladocopium-only,Cladocopium-dominated,0,Cladocopium-only,Cladocopium-dominated,0,Cladocopium-only,Cladocopium-dominated,C1d,Type 3,Type 3_Cladocopium-only,Type 3_Cladocopium-dominated,C1d-dominated
262-1,2016,0.003136435174625,0,0.003136435174625,-2.50356368424449,0,0.0,-2.50356368424449,NA,16,16_262-1,M.intrincata Shallow,P.dam,10,Cladocopium-only,Cladocopium-dominated,0,Cladocopium-only,Cladocopium-dominated,0,Cladocopium-only,Cladocopium-dominated,C1d,Type 3,Type 3_Cladocopium-only,Type 3_Cladocopium-dominated,C1d-dominated
278-1,2014,0,0.043013825539327,0.043013825539327,-1.36639193069081,1,100.0,NA,-1.36639193069081,14,14_278-1,Shallow reef Tag 22,P.dam,9,Durusdinium-only,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,D1,Type 1,Type 1_Durusdinium-only,Type 1_Durusdinium-dominated,D1-dominated
