Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Panama\Pdam_Plate2.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-09-26 15:19:42 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,Pdam_NTC_14,Pdam,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
A2,Pdam_257-1_14,Pdam,UNKNOWN,FAM,NFQ-MGB,18.7169303894,18.7590713501,0.0595976673,,,,0,0.01,1,3,17,,N,N,N
A3,Pdam_257-1_15,Pdam,UNKNOWN,FAM,NFQ-MGB,20.944278717,20.6811141968,0.3721708357,,,,0,0.01,1,3,20,,N,N,N
A4,Pdam_257-1_16,Pdam,UNKNOWN,FAM,NFQ-MGB,19.4149227142,19.1353034973,0.3954412937,,,,0,0.01,1,3,18,,N,N,N
A5,Pdam_259-1_14,Pdam,UNKNOWN,FAM,NFQ-MGB,18.9491119385,18.6018753052,0.491068095,,,,0,0.01,1,3,18,,N,N,N
A6,Pdam_259-1_15,Pdam,UNKNOWN,FAM,NFQ-MGB,19.7561969757,19.7107124329,0.0643262044,,,,0,0.01,1,3,19,,N,N,N
A7,Pdam_259-1_16,Pdam,UNKNOWN,FAM,NFQ-MGB,19.5938911438,19.7476234436,0.2174089551,,,,0,0.01,1,3,19,,N,N,N
A8,Pdam_260-1_14,Pdam,UNKNOWN,FAM,NFQ-MGB,24.5606269836,24.0959568024,0.6571428776,,,,0,0.01,1,3,24,,Y,N,N
A9,Pdam_260-1_15,Pdam,UNKNOWN,FAM,NFQ-MGB,19.5801467896,19.3481292725,0.3281209767,,,,0,0.01,1,3,19,,N,N,N
A10,Pdam_260-1_16,Pdam,UNKNOWN,FAM,NFQ-MGB,19.1141242981,19.532043457,0.5910269618,,,,0,0.01,1,3,18,,Y,N,N
A11,Pdam_262-1_14,Pdam,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
A12,Pdam_NTC_14,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
A12,Pdam_NTC_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
B1,Pdam_256-1_14,Pdam,UNKNOWN,FAM,NFQ-MGB,19.4750442505,18.7119522095,1.0791764259,,,,0,0.01,1,3,18,,Y,N,N
B2,Pdam_257-1_14,Pdam,UNKNOWN,FAM,NFQ-MGB,18.8012142181,18.7590713501,0.0595976673,,,,0,0.01,1,3,18,,N,N,N
B3,Pdam_257-1_15,Pdam,UNKNOWN,FAM,NFQ-MGB,20.4179496765,20.6811141968,0.3721708357,,,,0,0.01,1,3,19,,N,N,N
B4,Pdam_257-1_16,Pdam,UNKNOWN,FAM,NFQ-MGB,18.8556842804,19.1353034973,0.3954412937,,,,0,0.01,1,3,18,,N,N,N
B5,Pdam_259-1_14,Pdam,UNKNOWN,FAM,NFQ-MGB,18.2546367645,18.6018753052,0.491068095,,,,0,0.01,1,3,17,,N,N,N
B6,Pdam_259-1_15,Pdam,UNKNOWN,FAM,NFQ-MGB,19.6652259827,19.7107124329,0.0643262044,,,,0,0.01,1,3,19,,N,N,N
