Block Type,96well,,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Panama\Pdam_Plate13_Gal.eds,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-11-01 16:46:50 PM EDT,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,NOISE,SPIKE,NOSIGNAL,EXPFAIL
A1,Pdam_NTC_14,Pdam,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,Y
A3,Pdam_339_14,Pdam,UNKNOWN,FAM,NFQ-MGB,25.4840812683,25.568271637,0.1190631613,,,,0,0.01,1,3,24,,N,N,N,N,N,N
A4,Pdam_340_14,Pdam,UNKNOWN,FAM,NFQ-MGB,21.2380485535,20.9666023254,0.3838815987,,,,0,0.01,1,3,20,,N,N,N,N,N,N
A6,Pdam_343_14,Pdam,UNKNOWN,FAM,NFQ-MGB,22.3678607941,22.190776825,0.2504332066,,,,0,0.01,1,3,21,,N,N,N,N,N,N
A8,Pdam_359_14,Pdam,UNKNOWN,FAM,NFQ-MGB,29.9960136414,29.4425392151,0.7827310562,,,,0,0.01,1,3,29,,Y,N,N,N,N,N
A9,Pdam_360_14,Pdam,UNKNOWN,FAM,NFQ-MGB,28.5836734772,28.163143158,0.594719708,,,,0,0.01,1,3,27,,Y,N,N,N,N,N
A10,Pdam_361_14,Pdam,UNKNOWN,FAM,NFQ-MGB,26.0325469971,25.721906662,0.4393117726,,,,0,0.01,1,3,25,,N,N,N,N,N,N
A11,Pdam_362_14,Pdam,UNKNOWN,FAM,NFQ-MGB,29.8004798889,29.6926879883,0.1524394155,,,,0,0.01,1,3,29,,N,N,N,N,N,N
A12,Pdam_NTC_14,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,N,N,N,Y
A12,Pdam_NTC_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,N,N,N,Y
B3,Pdam_339_14,Pdam,UNKNOWN,FAM,NFQ-MGB,25.6524620056,25.568271637,0.1190631613,,,,0,0.01,1,3,24,,N,N,N,N,N,N
B4,Pdam_340_14,Pdam,UNKNOWN,FAM,NFQ-MGB,20.6951580048,20.9666023254,0.3838815987,,,,0,0.01,1,3,19,,N,N,N,N,N,N
B6,Pdam_343_14,Pdam,UNKNOWN,FAM,NFQ-MGB,22.0136947632,22.190776825,0.2504332066,,,,0,0.01,1,3,21,,N,N,N,N,N,N
