Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Panama\Pdam_Plate14_Gal.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-11-01 18:24:11 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,Pdam_NTC_14,Pdam,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
A2,Pdam_424_14,Pdam,UNKNOWN,FAM,NFQ-MGB,21.9346446991,21.6681213379,0.3769195974,,,,0,0.01,1,3,21,,N,N,N
A3,Pdam_426_14,Pdam,UNKNOWN,FAM,NFQ-MGB,24.8414764404,24.3859863281,0.6441616416,,,,0,0.01,1,3,24,,Y,N,N
A4,Pdam_427_14,Pdam,UNKNOWN,FAM,NFQ-MGB,22.5604476929,22.2131137848,0.4912043214,,,,0,0.01,1,3,21,,N,N,N
A5,Pdam_430_14,Pdam,UNKNOWN,FAM,NFQ-MGB,24.1765766144,24.0505695343,0.1782009155,,,,0,0.01,1,3,23,,N,N,N
A6,Pdam_434_14,Pdam,UNKNOWN,FAM,NFQ-MGB,21.5910701752,21.4790420532,0.158433035,,,,0,0.01,1,3,20,,N,N,N
A7,Pdam_438_14,Pdam,UNKNOWN,FAM,NFQ-MGB,21.437582016,20.9721488953,0.6582231522,,,,0,0.01,1,3,20,,Y,N,N
A8,Pdam_439_14,Pdam,UNKNOWN,FAM,NFQ-MGB,20.3770847321,20.2783870697,0.1395795792,,,,0,0.01,1,3,19,,N,N,N
A9,Pdam_440_14,Pdam,UNKNOWN,FAM,NFQ-MGB,21.4438667297,21.5970993042,0.2167022377,,,,0,0.01,1,3,20,,N,N,N
A10,Pdam_442_14,Pdam,UNKNOWN,FAM,NFQ-MGB,28.1206970215,27.9151000977,0.2907592952,,,,0,0.01,1,3,27,,N,N,N
A11,Pdam_443_14,Pdam,UNKNOWN,FAM,NFQ-MGB,24.4278354645,24.2692298889,0.2243034989,,,,0,0.01,1,3,23,,N,N,N
A12,Pdam_NTC_14,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
A12,Pdam_NTC_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
B1,Pdam_421_14,Pdam,UNKNOWN,FAM,NFQ-MGB,23.1197013855,23.1222000122,0.0035322432,,,,0,0.01,1,3,22,,N,N,N
B2,Pdam_424_14,Pdam,UNKNOWN,FAM,NFQ-MGB,21.401599884,21.6681213379,0.3769195974,,,,0,0.01,1,3,20,,N,N,N
B3,Pdam_426_14,Pdam,UNKNOWN,FAM,NFQ-MGB,23.9304943085,24.3859863281,0.6441616416,,,,0,0.01,1,3,23,,Y,N,N
B4,Pdam_427_14,Pdam,UNKNOWN,FAM,NFQ-MGB,21.8657798767,22.2131137848,0.4912043214,,,,0,0.01,1,3,21,,N,N,N
B5,Pdam_430_14,Pdam,UNKNOWN,FAM,NFQ-MGB,23.9245624542,24.0505695343,0.1782009155,,,,0,0.01,1,3,23,,N,N,N
B6,Pdam_434_14,Pdam,UNKNOWN,FAM,NFQ-MGB,21.3670120239,21.4790420532,0.158433035,,,,0,0.01,1,3,20,,N,N,N
B7,Pdam_438_14,Pdam,UNKNOWN,FAM,NFQ-MGB,20.5067138672,20.9721488953,0.6582231522,,,,0,0.01,1,3,19,,Y,N,N
B8,Pdam_439_14,Pdam,UNKNOWN,FAM,NFQ-MGB,20.1796894073,20.2783870697,0.1395795792,,,,0,0.01,1,3,19,,N,N,N
B9,Pdam_440_14,Pdam,UNKNOWN,FAM,NFQ-MGB,21.7503299713,21.5970993042,0.2167022377,,,,0,0.01,1,3,21,,N,N,N
B10,Pdam_442_14,Pdam,UNKNOWN,FAM,NFQ-MGB,27.7095012665,27.9151000977,0.2907592952,,,,0,0.01,1,3,27,,N,N,N
B11,Pdam_443_14,Pdam,UNKNOWN,FAM,NFQ-MGB,24.110622406,24.2692298889,0.2243034989,,,,0,0.01,1,3,23,,N,N,N
B12,Pdam_421_14,C,UNKNOWN,VIC,NFQ-MGB,25.8626213074,25.7802352905,0.116512768,,,,0,0.01,1,3,25,,N,N,Y
B12,Pdam_421_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
C1,Pdam_421_14,Pdam,UNKNOWN,FAM,NFQ-MGB,23.1246967316,23.1222000122,0.0035322432,,,,0,0.01,1,3,22,,N,N,N
C2,Pdam_424_14,C,UNKNOWN,VIC,NFQ-MGB,25.7028522491,25.6104984283,0.1306080222,,,,0,0.01,1,3,25,,N,Y,Y
C2,Pdam_424_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
C3,Pdam_426_14,C,UNKNOWN,VIC,NFQ-MGB,27.4173603058,27.4281539917,0.0152659258,,,,0,0.01,1,3,27,,N,N,N
C3,Pdam_426_14,D,UNKNOWN,FAM,NFQ-MGB,26.8870239258,26.9303436279,0.0612633117,,,,0,0.01,1,3,26,,N,N,N
C4,Pdam_427_14,C,UNKNOWN,VIC,NFQ-MGB,24.0495166779,24.182882309,0.1886074841,,,,0,0.01,1,3,23,,N,Y,Y
C4,Pdam_427_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
C5,Pdam_430_14,C,UNKNOWN,VIC,NFQ-MGB,24.7328586578,24.6651725769,0.0957212225,,,,0,0.01,1,3,24,,N,N,Y
C5,Pdam_430_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
C6,Pdam_434_14,C,UNKNOWN,VIC,NFQ-MGB,32.9616851807,34.2983779907,1.8903717995,,,,0,0.01,1,3,35,,Y,N,N
C6,Pdam_434_14,D,UNKNOWN,FAM,NFQ-MGB,23.5714836121,23.4242248535,0.2082553357,,,,0,0.01,1,3,22,,Y,N,N
C7,Pdam_438_14,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
C7,Pdam_438_14,D,UNKNOWN,FAM,NFQ-MGB,23.8118915558,23.8732414246,0.0867604688,,,,0,0.01,1,3,23,,N,Y,Y
C8,Pdam_439_14,C,UNKNOWN,VIC,NFQ-MGB,23.4605998993,23.2739467621,0.2639673948,,,,0,0.01,1,3,23,,N,Y,Y
C8,Pdam_439_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
C9,Pdam_440_14,C,UNKNOWN,VIC,NFQ-MGB,32.4834442139,32.4834442139,,,,,0,0.01,1,3,35,,N,N,N
C9,Pdam_440_14,D,UNKNOWN,FAM,NFQ-MGB,23.4638652802,23.3975028992,0.0938519314,,,,0,0.01,1,3,22,,N,N,N
C10,Pdam_442_14,C,UNKNOWN,VIC,NFQ-MGB,24.6428451538,24.9512786865,0.4361895323,,,,0,0.01,1,3,24,,N,Y,Y
C10,Pdam_442_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
C11,Pdam_443_14,C,UNKNOWN,VIC,NFQ-MGB,28.0705280304,28.0954246521,0.0352077931,,,,0,0.01,1,3,27,,N,N,N
C11,Pdam_443_14,D,UNKNOWN,FAM,NFQ-MGB,24.7923679352,24.8366661072,0.0626470745,,,,0,0.01,1,3,24,,N,N,N
C12,Pdam_421_14,C,UNKNOWN,VIC,NFQ-MGB,25.6978473663,25.7802352905,0.116512768,,,,0,0.01,1,3,25,,N,N,Y
C12,Pdam_421_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
D1,Pdam_422_14,Pdam,UNKNOWN,FAM,NFQ-MGB,28.9251289368,28.5390319824,0.5460249186,,,,0,0.01,1,3,28,,Y,N,N
D2,Pdam_424_14,C,UNKNOWN,VIC,NFQ-MGB,25.5181446075,25.6104984283,0.1306080222,,,,0,0.01,1,3,25,,N,Y,Y
D2,Pdam_424_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
D3,Pdam_426_14,C,UNKNOWN,VIC,NFQ-MGB,27.438949585,27.4281539917,0.0152659258,,,,0,0.01,1,3,27,,N,N,N
D3,Pdam_426_14,D,UNKNOWN,FAM,NFQ-MGB,26.9736633301,26.9303436279,0.0612633117,,,,0,0.01,1,3,26,,N,N,N
D4,Pdam_427_14,C,UNKNOWN,VIC,NFQ-MGB,24.3162479401,24.182882309,0.1886074841,,,,0,0.01,1,3,24,,N,Y,Y
D4,Pdam_427_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
D5,Pdam_430_14,C,UNKNOWN,VIC,NFQ-MGB,24.5974884033,24.6651725769,0.0957212225,,,,0,0.01,1,3,24,,N,Y,Y
D5,Pdam_430_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
D6,Pdam_434_14,C,UNKNOWN,VIC,NFQ-MGB,35.6350746155,34.2983779907,1.8903717995,,,,0,0.01,1,3,39,,Y,N,Y
D6,Pdam_434_14,D,UNKNOWN,FAM,NFQ-MGB,23.276966095,23.4242248535,0.2082553357,,,,0,0.01,1,3,22,,Y,N,Y
D7,Pdam_438_14,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
D7,Pdam_438_14,D,UNKNOWN,FAM,NFQ-MGB,23.934589386,23.8732414246,0.0867604688,,,,0,0.01,1,3,22,,N,Y,Y
D8,Pdam_439_14,C,UNKNOWN,VIC,NFQ-MGB,23.0872936249,23.2739467621,0.2639673948,,,,0,0.01,1,3,22,,N,Y,Y
D8,Pdam_439_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
D9,Pdam_440_14,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,32.4834442139,,,,,0,0.01,1,3,39,,N,Y,Y
D9,Pdam_440_14,D,UNKNOWN,FAM,NFQ-MGB,23.3311386108,23.3975028992,0.0938519314,,,,0,0.01,1,3,22,,N,Y,Y
D10,Pdam_442_14,C,UNKNOWN,VIC,NFQ-MGB,25.2597103119,24.9512786865,0.4361895323,,,,0,0.01,1,3,25,,N,Y,Y
D10,Pdam_442_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
D11,Pdam_443_14,C,UNKNOWN,VIC,NFQ-MGB,28.1203193665,28.0954246521,0.0352077931,,,,0,0.01,1,3,27,,N,N,N
D11,Pdam_443_14,D,UNKNOWN,FAM,NFQ-MGB,24.8809642792,24.8366661072,0.0626470745,,,,0,0.01,1,3,24,,N,N,N
D12,Pdam_422_14,C,UNKNOWN,VIC,NFQ-MGB,26.5725269318,26.5788516998,0.0089445729,,,,0,0.01,1,3,26,,N,N,Y
D12,Pdam_422_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
E1,Pdam_422_14,Pdam,UNKNOWN,FAM,NFQ-MGB,28.1529331207,28.5390319824,0.5460249186,,,,0,0.01,1,3,27,,Y,N,N
E2,Pdam_444_14,C,UNKNOWN,VIC,NFQ-MGB,27.5940380096,28.052614212,0.6485247016,,,,0,0.01,1,3,27,,Y,Y,Y
E2,Pdam_444_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,Y,Y,Y
E3,Pdam_445_14,C,UNKNOWN,VIC,NFQ-MGB,24.387260437,24.4306755066,0.0613981821,,,,0,0.01,1,3,24,,N,Y,Y
E3,Pdam_445_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
E4,Pdam_447_14,C,UNKNOWN,VIC,NFQ-MGB,25.0463256836,25.0139694214,0.0457600132,,,,0,0.01,1,3,24,,N,Y,Y
E4,Pdam_447_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
E5,Pdam_448_14,C,UNKNOWN,VIC,NFQ-MGB,25.5708827972,25.7534637451,0.2582084537,,,,0,0.01,1,3,25,,N,N,N
E5,Pdam_448_14,D,UNKNOWN,FAM,NFQ-MGB,35.5002784729,35.5002784729,,,,,0,0.01,1,3,35,,N,N,N
E6,Pdam_449_14,C,UNKNOWN,VIC,NFQ-MGB,24.5582885742,24.5718727112,0.0192095228,,,,0,0.01,1,3,24,,N,N,N
E6,Pdam_449_14,D,UNKNOWN,FAM,NFQ-MGB,30.2958316803,30.1124801636,0.2592982054,,,,0,0.01,1,3,29,,N,N,N
E7,Pdam_455_14,C,UNKNOWN,VIC,NFQ-MGB,23.6338615417,23.6187210083,0.0214105994,,,,0,0.01,1,3,23,,N,Y,Y
E7,Pdam_455_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
E8,Pdam_458_14,C,UNKNOWN,VIC,NFQ-MGB,31.1729335785,31.1146202087,0.0824662074,,,,0,0.01,1,3,31,,N,N,N
E8,Pdam_458_14,D,UNKNOWN,FAM,NFQ-MGB,25.2175617218,25.1607151031,0.0803932622,,,,0,0.01,1,3,24,,N,N,N
E9,Pdam_459_14,C,UNKNOWN,VIC,NFQ-MGB,25.4590492249,25.5563869476,0.1376563311,,,,0,0.01,1,3,25,,N,Y,Y
E9,Pdam_459_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
E10,Pdam_464_14,C,UNKNOWN,VIC,NFQ-MGB,25.6463050842,25.6821632385,0.0507110879,,,,0,0.01,1,3,25,,N,Y,Y
E10,Pdam_464_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
E11,Pdam_465_14,C,UNKNOWN,VIC,NFQ-MGB,24.7060546875,24.7643966675,0.0825066715,,,,0,0.01,1,3,24,,N,Y,Y
E11,Pdam_465_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
E12,Pdam_422_14,C,UNKNOWN,VIC,NFQ-MGB,26.5851764679,26.5788516998,0.0089445729,,,,0,0.01,1,3,25,,N,N,Y
E12,Pdam_422_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
F1,Pdam_423_14,Pdam,UNKNOWN,FAM,NFQ-MGB,19.7906799316,20.2803325653,0.6924734116,,,,0,0.01,1,3,18,,Y,N,N
F2,Pdam_444_14,C,UNKNOWN,VIC,NFQ-MGB,28.5111904144,28.052614212,0.6485247016,,,,0,0.01,1,3,28,,Y,Y,Y
F2,Pdam_444_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,Y,Y,Y
F3,Pdam_445_14,C,UNKNOWN,VIC,NFQ-MGB,24.4740905762,24.4306755066,0.0613981821,,,,0,0.01,1,3,23,,N,Y,Y
F3,Pdam_445_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
F4,Pdam_447_14,C,UNKNOWN,VIC,NFQ-MGB,24.9816112518,25.0139694214,0.0457600132,,,,0,0.01,1,3,24,,N,Y,Y
F4,Pdam_447_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
F5,Pdam_448_14,C,UNKNOWN,VIC,NFQ-MGB,25.936044693,25.7534637451,0.2582084537,,,,0,0.01,1,3,25,,N,Y,Y
F5,Pdam_448_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,35.5002784729,,,,,0,0.01,1,3,39,,N,Y,Y
F6,Pdam_449_14,C,UNKNOWN,VIC,NFQ-MGB,24.5854549408,24.5718727112,0.0192095228,,,,0,0.01,1,3,24,,N,N,N
F6,Pdam_449_14,D,UNKNOWN,FAM,NFQ-MGB,29.9291286469,30.1124801636,0.2592982054,,,,0,0.01,1,3,29,,N,N,N
F7,Pdam_455_14,C,UNKNOWN,VIC,NFQ-MGB,23.6035823822,23.6187210083,0.0214105994,,,,0,0.01,1,3,23,,N,Y,Y
F7,Pdam_455_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
F8,Pdam_458_14,C,UNKNOWN,VIC,NFQ-MGB,31.0563087463,31.1146202087,0.0824662074,,,,0,0.01,1,3,31,,N,N,N
F8,Pdam_458_14,D,UNKNOWN,FAM,NFQ-MGB,25.1038684845,25.1607151031,0.0803932622,,,,0,0.01,1,3,24,,N,N,N
F9,Pdam_459_14,C,UNKNOWN,VIC,NFQ-MGB,25.6537246704,25.5563869476,0.1376563311,,,,0,0.01,1,3,25,,N,Y,Y
F9,Pdam_459_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
F10,Pdam_464_14,C,UNKNOWN,VIC,NFQ-MGB,25.7180213928,25.6821632385,0.0507110879,,,,0,0.01,1,3,25,,N,Y,Y
F10,Pdam_464_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
F11,Pdam_465_14,C,UNKNOWN,VIC,NFQ-MGB,24.8227367401,24.7643966675,0.0825066715,,,,0,0.01,1,3,24,,N,Y,Y
F11,Pdam_465_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
F12,Pdam_423_14,C,UNKNOWN,VIC,NFQ-MGB,24.6108379364,24.442073822,0.2386685014,,,,0,0.01,1,3,24,,N,N,Y
F12,Pdam_423_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
G1,Pdam_423_14,Pdam,UNKNOWN,FAM,NFQ-MGB,20.769985199,20.2803325653,0.6924734116,,,,0,0.01,1,3,20,,Y,N,N
