Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Panama\Pdam_Plate16-Gal.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-11-02 14:27:31 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,Pdam_NTC_14,Pdam,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
A5,Pdam_257-1_14,Pdam,UNKNOWN,FAM,NFQ-MGB,21.3122501373,20.7700424194,0.7667988539,,,,0,0.01,1,3,20,,Y,N,N
A6,Pdam_259-1_14,Pdam,UNKNOWN,FAM,NFQ-MGB,25.3399467468,24.5775909424,1.0781325102,,,,0,0.01,1,3,24,,Y,N,N
A7,Pdam_264-1_14,Pdam,UNKNOWN,FAM,NFQ-MGB,23.2575016022,23.6282024384,0.5242501497,,,,0,0.01,1,3,22,,Y,N,N
A8,Pdam_404-1A_14,Pdam,UNKNOWN,FAM,NFQ-MGB,23.4379005432,22.3612499237,1.522613883,,,,0,0.01,1,3,22,,Y,N,N
A9,Pdam_285-1_15,Pdam,UNKNOWN,FAM,NFQ-MGB,27.5859489441,25.5055046082,2.942193985,,,,0,0.01,1,3,26,,Y,N,N
A10,Pdam_Ross_14,Pdam,UNKNOWN,FAM,NFQ-MGB,24.9772129059,25.9758911133,1.4123456478,,,,0,0.01,1,3,24,,Y,N,N
A11,Pdam_412_14,Pdam,UNKNOWN,FAM,NFQ-MGB,27.0826759338,25.5102005005,2.2238161564,,,,0,0.01,1,3,26,,Y,N,N
A12,Pdam_NTC_14,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
A12,Pdam_NTC_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
B1,Pdam_520_14,Pdam,UNKNOWN,FAM,NFQ-MGB,27.6450614929,26.2805709839,1.929682374,,,,0,0.01,1,3,26,,Y,N,N
B5,Pdam_257-1_14,Pdam,UNKNOWN,FAM,NFQ-MGB,20.2278327942,20.7700424194,0.7667988539,,,,0,0.01,1,3,19,,Y,N,N
B6,Pdam_259-1_14,Pdam,UNKNOWN,FAM,NFQ-MGB,23.8152370453,24.5775909424,1.0781325102,,,,0,0.01,1,3,23,,Y,N,N
B7,Pdam_264-1_14,Pdam,UNKNOWN,FAM,NFQ-MGB,23.9989032745,23.6282024384,0.5242501497,,,,0,0.01,1,3,23,,Y,N,N
B8,Pdam_404-1A_14,Pdam,UNKNOWN,FAM,NFQ-MGB,21.2845993042,22.3612499237,1.522613883,,,,0,0.01,1,3,20,,Y,N,N
B9,Pdam_285-1_15,Pdam,UNKNOWN,FAM,NFQ-MGB,23.4250583649,25.5055046082,2.942193985,,,,0,0.01,1,3,22,,Y,N,N
B10,Pdam_Ross_14,Pdam,UNKNOWN,FAM,NFQ-MGB,26.974571228,25.9758911133,1.4123456478,,,,0,0.01,1,3,26,,Y,N,N
B11,Pdam_412_14,Pdam,UNKNOWN,FAM,NFQ-MGB,23.9377250671,25.5102005005,2.2238161564,,,,0,0.01,1,3,23,,Y,N,N
B12,Pdam_520_14,C,UNKNOWN,VIC,NFQ-MGB,24.7715854645,25.3576469421,0.8288147449,,,,0,0.01,1,3,24,,Y,N,Y
B12,Pdam_520_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,Y,N,Y
C1,Pdam_520_14,Pdam,UNKNOWN,FAM,NFQ-MGB,24.9160785675,26.2805709839,1.929682374,,,,0,0.01,1,3,24,,Y,N,N
C5,Pdam_257-1_14,C,UNKNOWN,VIC,NFQ-MGB,24.5610332489,24.7640037537,0.28704229,,,,0,0.01,1,3,24,,N,N,Y
C5,Pdam_257-1_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
C6,Pdam_259-1_14,C,UNKNOWN,VIC,NFQ-MGB,34.9340629578,35.9455451965,1.43045187,,,,0,0.01,1,3,39,,Y,N,Y
C6,Pdam_259-1_14,D,UNKNOWN,FAM,NFQ-MGB,24.8692798615,24.1616306305,1.0007671118,,,,0,0.01,1,3,24,,Y,N,Y
C7,Pdam_264-1_14,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,36.7376022339,,,,,0,0.01,1,3,39,,N,Y,Y
C7,Pdam_264-1_14,D,UNKNOWN,FAM,NFQ-MGB,23.8390274048,24.0406398773,0.28512308,,,,0,0.01,1,3,22,,N,Y,Y
C8,Pdam_404-1A_14,C,UNKNOWN,VIC,NFQ-MGB,28.3198013306,28.3198013306,,,,,0,0.01,1,3,26,,N,N,N
C8,Pdam_404-1A_14,D,UNKNOWN,FAM,NFQ-MGB,22.562456131,22.6111488342,0.0688618794,,,,0,0.01,1,3,21,,N,N,N
C9,Pdam_285-1_15,C,UNKNOWN,VIC,NFQ-MGB,23.1024551392,23.0502891541,0.073773846,,,,0,0.01,1,3,22,,N,N,N
C9,Pdam_285-1_15,D,UNKNOWN,FAM,NFQ-MGB,37.0180358887,37.0180358887,,,,,0,0.01,1,3,35,,N,N,N
C10,Pdam_Ross_14,C,UNKNOWN,VIC,NFQ-MGB,24.5525188446,24.0889263153,0.6556188464,,,,0,0.01,1,3,24,,Y,Y,Y
C10,Pdam_Ross_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,35.4223976135,,,,,0,0.01,1,3,39,,Y,Y,Y
C11,Pdam_412_14,C,UNKNOWN,VIC,NFQ-MGB,23.8647270203,23.9208755493,0.0794073567,,,,0,0.01,1,3,23,,N,N,Y
C11,Pdam_412_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
C12,Pdam_520_14,C,UNKNOWN,VIC,NFQ-MGB,25.9437065125,25.3576469421,0.8288147449,,,,0,0.01,1,3,25,,Y,N,Y
C12,Pdam_520_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,Y,N,Y
D1,Pdam_521_14,Pdam,UNKNOWN,FAM,NFQ-MGB,29.5425758362,26.6728591919,4.0583906174,,,,0,0.01,1,3,28,,Y,N,N
D5,Pdam_257-1_14,C,UNKNOWN,VIC,NFQ-MGB,24.9669723511,24.7640037537,0.28704229,,,,0,0.01,1,3,24,,N,N,Y
D5,Pdam_257-1_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
D6,Pdam_259-1_14,C,UNKNOWN,VIC,NFQ-MGB,36.9570274353,35.9455451965,1.43045187,,,,0,0.01,1,3,39,,Y,Y,Y
D6,Pdam_259-1_14,D,UNKNOWN,FAM,NFQ-MGB,23.4539813995,24.1616306305,1.0007671118,,,,0,0.01,1,3,22,,Y,Y,Y
D7,Pdam_264-1_14,C,UNKNOWN,VIC,NFQ-MGB,36.7376022339,36.7376022339,,,,,0,0.01,1,3,39,,N,N,Y
D7,Pdam_264-1_14,D,UNKNOWN,FAM,NFQ-MGB,24.2422523499,24.0406398773,0.28512308,,,,0,0.01,1,3,23,,N,N,Y
D8,Pdam_404-1A_14,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,28.3198013306,,,,,0,0.01,1,3,39,,N,Y,Y
D8,Pdam_404-1A_14,D,UNKNOWN,FAM,NFQ-MGB,22.6598415375,22.6111488342,0.0688618794,,,,0,0.01,1,3,21,,N,Y,Y
D9,Pdam_285-1_15,C,UNKNOWN,VIC,NFQ-MGB,22.9981231689,23.0502891541,0.073773846,,,,0,0.01,1,3,22,,N,N,Y
D9,Pdam_285-1_15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.0180358887,,,,,0,0.01,1,3,39,,N,N,Y
D10,Pdam_Ross_14,C,UNKNOWN,VIC,NFQ-MGB,23.625333786,24.0889263153,0.6556188464,,,,0,0.01,1,3,23,,Y,N,N
D10,Pdam_Ross_14,D,UNKNOWN,FAM,NFQ-MGB,35.4223976135,35.4223976135,,,,,0,0.01,1,3,34,,Y,N,N
D11,Pdam_412_14,C,UNKNOWN,VIC,NFQ-MGB,23.9770259857,23.9208755493,0.0794073567,,,,0,0.01,1,3,23,,N,N,Y
D11,Pdam_412_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
D12,Pdam_521_14,C,UNKNOWN,VIC,NFQ-MGB,26.0158843994,27.1539230347,1.6094310284,,,,0,0.01,1,3,25,,Y,N,Y
D12,Pdam_521_14,D,UNKNOWN,FAM,NFQ-MGB,11.2427091599,24.725440979,19.0674610138,,,,0,0.01,1,3,39,,Y,N,Y
E1,Pdam_521_14,Pdam,UNKNOWN,FAM,NFQ-MGB,23.803144455,26.6728591919,4.0583906174,,,,0,0.01,1,3,23,,Y,N,N
E2,Pdam_308_14,C,UNKNOWN,VIC,NFQ-MGB,25.8934745789,26.6586532593,1.0821274519,,,,0,0.01,1,3,25,,Y,N,Y
E2,Pdam_308_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,Y,N,Y
E3,Pdam_419-1A_15,C,UNKNOWN,VIC,NFQ-MGB,26.4184913635,26.0663719177,0.4979734421,,,,0,0.01,1,3,26,,N,N,N
E3,Pdam_419-1A_15,D,UNKNOWN,FAM,NFQ-MGB,28.4472618103,28.1593894958,0.4071129262,,,,0,0.01,1,3,27,,N,N,N
