Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Panama\Gal1_Dprobes.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-10-27 21:36:03 PM EDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,OUTLIERRG,EXPFAIL
A1,Pdam_506_14,Pdam,UNKNOWN,FAM,NFQ-MGB,31.0053672791,27.8708229065,1.4228246212,,,,0,0.01,1,3,35,,Y,N,Y,N
A2,Pdam_509_14,Pdam,UNKNOWN,FAM,NFQ-MGB,19.8861637115,19.7693634033,0.4290263653,,,,0,0.01,1,3,19,,N,N,N,N
A3,Pdam_510_14,Pdam,UNKNOWN,FAM,NFQ-MGB,24.2744293213,24.2043247223,1.0417257547,,,,0,0.01,1,3,23,,Y,N,N,N
A4,Pdam_506_14,Pdam,UNKNOWN,FAM,NFQ-MGB,27.9603023529,27.8708229065,1.4228246212,,,,0,0.01,1,3,27,,Y,N,N,N
A5,Pdam_509_14,Pdam,UNKNOWN,FAM,NFQ-MGB,20.6775665283,19.7693634033,0.4290263653,,,,0,0.01,1,3,19,,N,N,N,N
A6,Pdam_510_14,Pdam,UNKNOWN,FAM,NFQ-MGB,23.9812870026,24.2043247223,1.0417257547,,,,0,0.01,1,3,23,,Y,N,N,N
A7,Pdam_506_14,Pdam,UNKNOWN,FAM,NFQ-MGB,27.967502594,27.8708229065,1.4228246212,,,,0,0.01,1,3,27,,Y,N,N,N
A8,Pdam_509_14,Pdam,UNKNOWN,FAM,NFQ-MGB,19.6550941467,19.7693634033,0.4290263653,,,,0,0.01,1,3,18,,N,N,N,N
A9,Pdam_510_14,Pdam,UNKNOWN,FAM,NFQ-MGB,24.2035827637,24.2043247223,1.0417257547,,,,0,0.01,1,3,23,,Y,N,N,N
A10,Pdam_506_14,Pdam,UNKNOWN,FAM,NFQ-MGB,27.421421051,27.8708229065,1.4228246212,,,,0,0.01,1,3,26,,Y,N,N,N
A11,Pdam_509_14,Pdam,UNKNOWN,FAM,NFQ-MGB,20.0120792389,19.7693634033,0.4290263653,,,,0,0.01,1,3,19,,N,N,N,N
A12,Pdam_510_14,Pdam,UNKNOWN,FAM,NFQ-MGB,26.6661453247,24.2043247223,1.0417257547,,,,0,0.01,1,3,26,,Y,N,Y,N
B1,Pdam_506_14,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,35.6315116882,1.4339088202,,,,0,0.01,1,3,39,,N,Y,N,Y
B1,Pdam_506_14,D,UNKNOWN,FAM,NFQ-MGB,24.3868904114,24.3410720825,0.1449376494,,,,0,0.01,1,3,23,,N,Y,N,Y
B2,Pdam_509_14,C,UNKNOWN,VIC,NFQ-MGB,25.6929836273,25.9309120178,0.2280867845,,,,0,0.01,1,3,25,,N,N,N,N
B2,Pdam_509_14,D,UNKNOWN,FAM,NFQ-MGB,30.6618595123,31.2690086365,0.3747209907,,,,0,0.01,1,3,30,,N,N,N,N
B3,Pdam_510_14,C,UNKNOWN,VIC,NFQ-MGB,24.7205047607,24.744184494,0.1480251253,,,,0,0.01,1,3,24,,Y,N,N,N
B3,Pdam_510_14,D,UNKNOWN,FAM,NFQ-MGB,38.1795120239,39.2048606873,0.9214392304,,,,0,0.01,1,3,35,,Y,N,N,N
