Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Panama\Pdam_Plate10.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-10-10 20:59:43 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,Pdam_NTC_14,Pdam,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
A2,Pdam_404-1A_15,Pdam,UNKNOWN,FAM,NFQ-MGB,19.8491859436,19.5219173431,0.4628276825,,,,0,0.01,1,3,19,,N,N,N
A3,Pdam_404-1B_14,Pdam,UNKNOWN,FAM,NFQ-MGB,20.5310707092,20.523059845,0.011327724,,,,0,0.01,1,3,19,,N,N,N
A4,Pdam_404-1B_15,Pdam,UNKNOWN,FAM,NFQ-MGB,21.2689495087,21.0147476196,0.3594944179,,,,0,0.01,1,3,20,,N,N,N
A5,Pdam_411-1A_14,Pdam,UNKNOWN,FAM,NFQ-MGB,20.3001060486,19.9425430298,0.5056704879,,,,0,0.01,1,3,19,,Y,N,N
A6,Pdam_411-1A_15,Pdam,UNKNOWN,FAM,NFQ-MGB,20.2418422699,20.3762245178,0.1900465488,,,,0,0.01,1,3,19,,N,N,N
A7,Pdam_411-1B_14,Pdam,UNKNOWN,FAM,NFQ-MGB,19.8518810272,19.5705718994,0.3978298306,,,,0,0.01,1,3,19,,N,N,N
A8,Pdam_411-1B_15,Pdam,UNKNOWN,FAM,NFQ-MGB,21.6167507172,21.7886390686,0.2430854887,,,,0,0.01,1,3,20,,N,N,N
A9,Pdam_413-1A_14,Pdam,UNKNOWN,FAM,NFQ-MGB,19.4385585785,19.456829071,0.0258397274,,,,0,0.01,1,3,18,,N,N,N
A10,Pdam_413-1A_15,Pdam,UNKNOWN,FAM,NFQ-MGB,20.3885059357,20.6099681854,0.3131949306,,,,0,0.01,1,3,19,,N,N,N
A11,Pdam_413-1B_14,Pdam,UNKNOWN,FAM,NFQ-MGB,22.1713294983,21.9226417542,0.351696223,,,,0,0.01,1,3,21,,N,N,N
