Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Panama\Pdam_Palte9.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-10-10 22:34:43 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,Pdam_NTC_14,Pdam,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
A2,Pdam_262-1_14,Pdam,UNKNOWN,FAM,NFQ-MGB,22.178150177,21.7281112671,0.6364497542,,,,0,0.01,1,3,21,,Y,N,N
A3,Pdam_262-1_15,Pdam,UNKNOWN,FAM,NFQ-MGB,20.4239768982,20.0818080902,0.4838997722,,,,0,0.01,1,3,19,,N,N,N
A4,Pdam_271-1_15,Pdam,UNKNOWN,FAM,NFQ-MGB,20.8579235077,20.6278705597,0.3253439963,,,,0,0.01,1,3,20,,N,N,N
A5,Pdam_274-1_16,Pdam,UNKNOWN,FAM,NFQ-MGB,21.194732666,21.2082595825,0.0191286001,,,,0,0.01,1,3,20,,N,N,N
A6,Pdam_345-1B_16,Pdam,UNKNOWN,FAM,NFQ-MGB,20.9557781219,20.9047641754,0.0721446127,,,,0,0.01,1,3,20,,N,N,N
A7,Pdam_644-1B_16,Pdam,UNKNOWN,FAM,NFQ-MGB,21.7539825439,21.451007843,0.4284695685,,,,0,0.01,1,3,21,,N,N,N
A8,Pdam_286-1A_14,Pdam,UNKNOWN,FAM,NFQ-MGB,20.2623748779,20.3186645508,0.0796056166,,,,0,0.01,1,3,19,,N,N,N
A9,Pdam_286-1A_15,Pdam,UNKNOWN,FAM,NFQ-MGB,20.881772995,20.432964325,0.6347099543,,,,0,0.01,1,3,20,,Y,N,N
A10,Pdam_286-1B_15,Pdam,UNKNOWN,FAM,NFQ-MGB,21.1943588257,21.4512023926,0.3632316589,,,,0,0.01,1,3,20,,N,N,N
A11,Pdam_337-1_14,Pdam,UNKNOWN,FAM,NFQ-MGB,20.2406845093,20.0315742493,0.2957279086,,,,0,0.01,1,3,19,,N,N,N
A12,Pdam_NTC_14,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
A12,Pdam_NTC_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
B1,Pdam_418-1B_15,Pdam,UNKNOWN,FAM,NFQ-MGB,21.9502487183,21.7554206848,0.2755298018,,,,0,0.01,1,3,21,,N,N,N
B2,Pdam_262-1_14,Pdam,UNKNOWN,FAM,NFQ-MGB,21.2780742645,21.7281112671,0.6364497542,,,,0,0.01,1,3,20,,Y,N,N
B3,Pdam_262-1_15,Pdam,UNKNOWN,FAM,NFQ-MGB,19.7396392822,20.0818080902,0.4838997722,,,,0,0.01,1,3,19,,N,N,N
B4,Pdam_271-1_15,Pdam,UNKNOWN,FAM,NFQ-MGB,20.3978176117,20.6278705597,0.3253439963,,,,0,0.01,1,3,19,,N,N,N
B5,Pdam_274-1_16,Pdam,UNKNOWN,FAM,NFQ-MGB,21.2217845917,21.2082595825,0.0191286001,,,,0,0.01,1,3,20,,N,N,N
B6,Pdam_345-1B_16,Pdam,UNKNOWN,FAM,NFQ-MGB,20.8537502289,20.9047641754,0.0721446127,,,,0,0.01,1,3,20,,N,N,N
B7,Pdam_644-1B_16,Pdam,UNKNOWN,FAM,NFQ-MGB,21.1480350494,21.451007843,0.4284695685,,,,0,0.01,1,3,20,,N,N,N
B8,Pdam_286-1_14,Pdam,UNKNOWN,FAM,NFQ-MGB,20.3749542236,20.3186645508,0.0796056166,,,,0,0.01,1,3,19,,N,N,N
B9,Pdam_286-1A_15,Pdam,UNKNOWN,FAM,NFQ-MGB,19.9841575623,20.432964325,0.6347099543,,,,0,0.01,1,3,19,,Y,N,N
B10,Pdam_286-1B_15,Pdam,UNKNOWN,FAM,NFQ-MGB,21.7080459595,21.4512023926,0.3632316589,,,,0,0.01,1,3,21,,N,N,N
B11,Pdam_337-1_14,Pdam,UNKNOWN,FAM,NFQ-MGB,19.8224620819,20.0315742493,0.2957279086,,,,0,0.01,1,3,19,,N,N,N
B12,Pdam_418-1B_15,C,UNKNOWN,VIC,NFQ-MGB,30.7445335388,32.3209762573,2.2294239998,,,,0,0.01,1,3,28,,Y,N,N
B12,Pdam_418-1B_15,D,UNKNOWN,FAM,NFQ-MGB,24.3468341827,24.2938995361,0.0748595446,,,,0,0.01,1,3,23,,Y,N,N
C1,Pdam_418-1B_15,Pdam,UNKNOWN,FAM,NFQ-MGB,21.560590744,21.7554206848,0.2755298018,,,,0,0.01,1,3,20,,N,N,N
C2,Pdam_262-1_14,C,UNKNOWN,VIC,NFQ-MGB,23.4887161255,23.3886222839,0.1415554136,,,,0,0.01,1,3,23,,N,Y,Y
C2,Pdam_262-1_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
C3,Pdam_262-1_15,C,UNKNOWN,VIC,NFQ-MGB,24.7033996582,24.7408866882,0.0530133173,,,,0,0.01,1,3,24,,N,Y,Y
C3,Pdam_262-1_15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
C4,Pdam_271-1_15,C,UNKNOWN,VIC,NFQ-MGB,24.0745029449,23.6264190674,0.6336863041,,,,0,0.01,1,3,23,,Y,N,N
C4,Pdam_271-1_15,D,UNKNOWN,FAM,NFQ-MGB,36.4794654846,36.4794654846,,,,,0,0.01,1,3,35,,Y,N,N
C5,Pdam_274-1_16,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
C5,Pdam_274-1_16,D,UNKNOWN,FAM,NFQ-MGB,24.3398208618,24.3350028992,0.0068136281,,,,0,0.01,1,3,23,,N,Y,Y
C6,Pdam_345-1B_16,C,UNKNOWN,VIC,NFQ-MGB,29.1870517731,29.1920757294,0.0071049472,,,,0,0.01,1,3,29,,N,N,N
C6,Pdam_345-1B_16,D,UNKNOWN,FAM,NFQ-MGB,24.1718425751,24.1545333862,0.0244802386,,,,0,0.01,1,3,23,,N,N,N
C7,Pdam_644-1B_16,C,UNKNOWN,VIC,NFQ-MGB,32.6008911133,32.5730438232,0.0393847115,,,,0,0.01,1,3,32,,N,N,N
C7,Pdam_644-1B_16,D,UNKNOWN,FAM,NFQ-MGB,23.2772026062,23.2710571289,0.008689669,,,,0,0.01,1,3,22,,N,N,N
C8,Pdam_286-1_14,C,UNKNOWN,VIC,NFQ-MGB,24.8018360138,24.9962730408,0.2749741375,,,,0,0.01,1,3,24,,N,N,N
C8,Pdam_286-1_14,D,UNKNOWN,FAM,NFQ-MGB,25.4442024231,25.6848583221,0.3403388262,,,,0,0.01,1,3,24,,N,N,N
C9,Pdam_286-1A_15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
C9,Pdam_286-1A_15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,35.8776741028,,,,,0,0.01,1,3,39,,N,Y,Y
C10,Pdam_286-1B_15,C,UNKNOWN,VIC,NFQ-MGB,24.8491458893,25.7053527832,1.2108607292,,,,0,0.01,1,3,24,,Y,Y,Y
C10,Pdam_286-1B_15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,Y,Y,Y
C11,Pdam_337-1_14,C,UNKNOWN,VIC,NFQ-MGB,22.845993042,22.8573722839,0.0160926785,,,,0,0.01,1,3,22,,N,N,N
C11,Pdam_337-1_14,D,UNKNOWN,FAM,NFQ-MGB,34.3758125305,34.3758125305,,,,,0,0.01,1,3,34,,N,N,N
C12,Pdam_418-1B_15,C,UNKNOWN,VIC,NFQ-MGB,33.8974151611,32.3209762573,2.2294239998,,,,0,0.01,1,3,35,,Y,N,N
C12,Pdam_418-1B_15,D,UNKNOWN,FAM,NFQ-MGB,24.2409667969,24.2938995361,0.0748595446,,,,0,0.01,1,3,23,,Y,N,N
D1,Pdam_418-1C_14,Pdam,UNKNOWN,FAM,NFQ-MGB,22.33644104,22.5919551849,0.3613515794,,,,0,0.01,1,3,21,,N,N,N
D2,Pdam_262-1_14,C,UNKNOWN,VIC,NFQ-MGB,23.288526535,23.3886222839,0.1415554136,,,,0,0.01,1,3,22,,N,Y,Y
D2,Pdam_262-1_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
D3,Pdam_262-1_15,C,UNKNOWN,VIC,NFQ-MGB,24.7783718109,24.7408866882,0.0530133173,,,,0,0.01,1,3,24,,N,Y,Y
D3,Pdam_262-1_15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
D4,Pdam_271-1_15,C,UNKNOWN,VIC,NFQ-MGB,23.1783351898,23.6264190674,0.6336863041,,,,0,0.01,1,3,22,,Y,Y,Y
D4,Pdam_271-1_15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,36.4794654846,,,,,0,0.01,1,3,39,,Y,Y,Y
D5,Pdam_274-1_16,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
D5,Pdam_274-1_16,D,UNKNOWN,FAM,NFQ-MGB,24.3301849365,24.3350028992,0.0068136281,,,,0,0.01,1,3,23,,N,Y,Y
D6,Pdam_345-1B_16,C,UNKNOWN,VIC,NFQ-MGB,29.1970996857,29.1920757294,0.0071049472,,,,0,0.01,1,3,29,,N,N,N
D6,Pdam_345-1B_16,D,UNKNOWN,FAM,NFQ-MGB,24.13722229,24.1545333862,0.0244802386,,,,0,0.01,1,3,23,,N,N,N
